"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"1"	10017	833	27.7666666666667	81	2.7	53	1.76666666666667	699	23.3	1998
"2"	10025	1	1	0	0	0	0	1	1	1998
"3"	10033	181	13.9230769230769	48	3.69230769230769	59	4.53846153846154	68	5.23076923076923	1998
"4"	10041	1325	40.1515151515151	202	6.12121212121212	172	5.21212121212121	370	11.2121212121212	1998
"5"	10058	266	26.6	75	7.5	74	7.4	117	11.7	1998
"6"	10066	151	8.38888888888889	17	0.944444444444444	29	1.61111111111111	105	5.83333333333333	1998
"7"	10074	1078	43.12	69	2.76	75	3	438	17.52	1998
"8"	10082	216	10.8	6	0.3	38	1.9	172	8.6	1998
"9"	10090	1032	34.4	104	3.46666666666667	111	3.7	676	22.5333333333333	1998
"10"	10108	1399	60.8260869565217	98	4.26086956521739	140	6.08695652173913	599	26.0434782608696	1998
"11"	10116	345	12.7777777777778	81	3	118	4.37037037037037	146	5.40740740740741	1998
"12"	10124	435	21.75	1	0.05	48	2.4	230	11.5	1998
"13"	10132	712	35.6	61	3.05	36	1.8	419	20.95	1998
"14"	10140	61	4.06666666666667	6	0.4	21	1.4	34	2.26666666666667	1998
"15"	10157	1977	48.219512195122	361	8.80487804878049	307	7.48780487804878	1309	31.9268292682927	1998
"16"	10165	524	26.2	7	0.35	62	3.1	245	12.25	1998
"17"	10173	98	9.8	0	0	12	1.2	86	8.6	1998
"18"	10181	137	9.13333333333333	37	2.46666666666667	31	2.06666666666667	61	4.06666666666667	1998
"19"	10199	13958	166.166666666667	1573	18.7261904761905	1208	14.3809523809524	10855	129.22619047619	1998
"20"	10207	527	22.9130434782609	136	5.91304347826087	87	3.78260869565217	193	8.39130434782609	1998
"21"	10215	615	21.9642857142857	138	4.92857142857143	115	4.10714285714286	362	12.9285714285714	1998
"22"	10223	64	5.33333333333333	4	0.333333333333333	18	1.5	15	1.25	1998
"23"	10231	222	27.75	1	0.125	27	3.375	194	24.25	1998
"24"	10249	912	45.6	138	6.9	124	6.2	615	30.75	1998
"25"	10256	90	5.29411764705882	14	0.823529411764706	29	1.70588235294118	47	2.76470588235294	1998
"26"	10264	94	4.7	35	1.75	34	1.7	23	1.15	1998
"27"	10272	1004	37.1851851851852	78	2.88888888888889	76	2.81481481481481	276	10.2222222222222	1998
"28"	10280	265	7.36111111111111	8	0.222222222222222	40	1.11111111111111	161	4.47222222222222	1998
"29"	10298	64	6.4	0	0	14	1.4	0	0	1998
"30"	10306	6970	158.409090909091	984	22.3636363636364	908	20.6363636363636	4587	104.25	1998
"31"	10314	557	30.9444444444444	143	7.94444444444444	96	5.33333333333333	150	8.33333333333333	1998
"32"	10322	6	2	0	0	1	0.333333333333333	5	1.66666666666667	1998
"33"	10330	3270	74.3181818181818	60	1.36363636363636	157	3.56818181818182	1578	35.8636363636364	1998
"34"	10348	1210	41.7241379310345	76	2.62068965517241	154	5.31034482758621	774	26.6896551724138	1998
"35"	10355	171	19	0	0	55	6.11111111111111	116	12.8888888888889	1998
"36"	10363	2967	89.9090909090909	452	13.6969696969697	339	10.2727272727273	1315	39.8484848484849	1998
"37"	10371	3139	82.6052631578947	372	9.78947368421053	598	15.7368421052632	2129	56.0263157894737	1998
"38"	10389	1059	40.7307692307692	36	1.38461538461538	51	1.96153846153846	972	37.3846153846154	1998
"39"	10397	2149	74.1034482758621	320	11.0344827586207	251	8.6551724137931	1578	54.4137931034483	1998
"40"	10405	448	19.4782608695652	0	0	21	0.91304347826087	179	7.78260869565217	1998
"41"	10413	1138	47.4166666666667	380	15.8333333333333	84	3.5	314	13.0833333333333	1998
"42"	10421	901	36.04	133	5.32	151	6.04	559	22.36	1998
"43"	10439	2763	60.0652173913044	45	0.978260869565217	192	4.17391304347826	1351	29.3695652173913	1998
"44"	10447	524	30.8235294117647	37	2.17647058823529	59	3.47058823529412	397	23.3529411764706	1998
"45"	10454	602	24.08	85	3.4	127	5.08	390	15.6	1998
"46"	10462	27	6.75	12	3	9	2.25	6	1.5	1998
"47"	10470	111	7.92857142857143	36	2.57142857142857	26	1.85714285714286	43	3.07142857142857	1998
"48"	10488	772	26.6206896551724	71	2.44827586206897	66	2.27586206896552	417	14.3793103448276	1998
"49"	10496	1003	38.5769230769231	71	2.73076923076923	77	2.96153846153846	443	17.0384615384615	1998
"50"	10504	1331	35.972972972973	293	7.91891891891892	228	6.16216216216216	742	20.0540540540541	1998
"51"	10512	314	13.6521739130435	91	3.95652173913043	64	2.78260869565217	159	6.91304347826087	1998
"52"	10520	72	6	13	1.08333333333333	5	0.416666666666667	27	2.25	1998
"53"	10538	41	6.83333333333333	13	2.16666666666667	12	2	16	2.66666666666667	1998
"54"	10546	1111	39.6785714285714	8	0.285714285714286	34	1.21428571428571	391	13.9642857142857	1998
"55"	10553	68	8.5	16	2	7	0.875	27	3.375	1998
"56"	10561	951	41.3478260869565	7	0.304347826086957	42	1.82608695652174	560	24.3478260869565	1998
"57"	10579	335	11.9642857142857	0	0	14	0.5	142	5.07142857142857	1998
"58"	10587	649	17.0789473684211	11	0.289473684210526	71	1.86842105263158	439	11.5526315789474	1998
"59"	32276	4825	45.9523809523809	0	0	59	0.561904761904762	4414	42.0380952380952	1998
"60"	61119	10641	38.554347826087	4815	17.445652173913	2481	8.98913043478261	3260	11.8115942028986	1998
"61"	61127	2895	39.1216216216216	1311	17.7162162162162	685	9.25675675675676	899	12.1486486486486	1998
"62"	61143	9403	47.9744897959184	3956	20.1836734693878	2008	10.2448979591837	3188	16.265306122449	1998
"63"	61150	7826	41.4074074074074	3495	18.4920634920635	1911	10.1111111111111	2387	12.6296296296296	1998
"64"	61168	984	33.9310344827586	457	15.7586206896552	225	7.75862068965517	302	10.4137931034483	1998
"65"	61176	30919	54.0541958041958	14799	25.8723776223776	6859	11.9912587412587	8875	15.5157342657343	1998
"66"	61192	23149	51.1015452538631	11515	25.4194260485651	5225	11.5342163355408	5877	12.9735099337748	1998
"67"	61200	13359	47.0387323943662	6441	22.6795774647887	2864	10.0845070422535	3714	13.0774647887324	1998
"68"	61218	52	6.5	43	5.375	9	1.125	0	0	1998
"69"	61234	7759	46.4610778443114	3654	21.8802395209581	1771	10.6047904191617	2334	13.9760479041916	1998
"70"	61242	14029	84.5120481927711	6161	37.1144578313253	3071	18.5	4362	26.2771084337349	1998
"71"	61259	54256	50.237037037037	30841	28.5564814814815	11495	10.6435185185185	11900	11.0185185185185	1998
"72"	61275	2707	42.296875	1116	17.4375	694	10.84375	847	13.234375	1998
"73"	61291	8023	50.14375	3892	24.325	1874	11.7125	2071	12.94375	1998
"74"	61309	11042	53.0865384615385	5141	24.7163461538462	2600	12.5	3281	15.7740384615385	1998
"75"	61333	124	9.53846153846154	80	6.15384615384615	43	3.30769230769231	0	0	1998
