"CO"	"DISTRICT"	"LEA ID"	"EXPENDITURES"	"CURRENT EXPENSE ADA"	"CURRENT EXPENSE PER ADA"	"LEA TYPE"	"YEAR"
"1"	"01"	"Albany City Unified"	"61127"	"16324798"	"2826.67"	5775.28	"Unified"	1998
"2"	"01"	"Berkeley Unified"	"61143"	"6.47872e+007"	"9101.92"	7117.97	"Unified"	1998
"3"	"01"	"Castro Valley Unified"	"61150"	"38588405"	"7603.02"	5075.4	"Unified"	1998
"4"	"01"	"Dublin Unified"	"75093"	"22121134"	"3751.79"	5896.15	"Unified"	1998
"5"	"01"	"Emery Unified"	"61168"	"5942114"	"934.69"	6357.31	"Unified"	1998
"6"	"01"	"Fremont Unified"	"61176"	"148687158"	"30100.4"	4939.71	"Unified"	1998
"7"	"01"	"Hayward Unified"	"61192"	"115368353"	"21706.1"	5315.02	"Unified"	1998
"8"	"01"	"Livermore Valley Joint Unified"	"61200"	"65361560"	"12908.5"	5063.46	"Unified"	1998
"9"	"01"	"Mountain House Elementary"	"61218"	"263704"	"49.27"	5352.22	"Elementary"	1998
"10"	"01"	"New Haven Unified"	"61242"	"73379620"	"13713.4"	5350.93	"Unified"	1998
"11"	"01"	"Newark Unified"	"61234"	"41194408"	"7454.38"	5526.2	"Unified"	1998
"12"	"01"	"Oakland Unified"	"61259"	"320011823"	"51812.3"	6176.37	"Unified"	1998
"13"	"01"	"Piedmont City Unified"	"61275"	"16213343"	"2658.98"	6097.58	"Unified"	1998
"14"	"01"	"Pleasanton Unified"	"75101"	"66484976"	"12050.6"	5517.16	"Unified"	1998
"15"	"01"	"San Leandro Unified"	"61291"	"39105286"	"7766.3"	5035.25	"Unified"	1998
"16"	"01"	"San Lorenzo Unified"	"61309"	"58852346"	"10432.8"	5641.07	"Unified"	1998
"17"	"01"	"Sunol Glen Unified"	"75119"	"1208089"	"189.21"	6384.91	"Unified"	1998
"18"	"02"	"Alpine County Unified"	"61333"	"1789653"	"121.71"	14704.2	"Unified"	1998
"19"	"03"	"Amador County Unified"	"73981"	"22555913"	"4489.93"	5023.67	"Unified"	1998
"20"	"04"	"Bangor Union Elementary"	"61382"	"846688"	"135.87"	6231.6	"Elementary"	1998
"21"	"04"	"Biggs Unified"	"61408"	"4.92822e+006"	"750.63"	6565.44	"Unified"	1998
"22"	"04"	"Chico Unified"	"61424"	"65547635"	"13522.1"	4847.46	"Unified"	1998
"23"	"04"	"Durham Unified"	"61432"	"7.24451e+006"	"1290.42"	5614.07	"Unified"	1998
"24"	"04"	"Feather Falls Union Elementary"	"61440"	"360093"	"30.69"	11733.2	"Elementary"	1998
"25"	"04"	"Golden Feather Union Elementary"	"61457"	"1.6859e+006"	"237.39"	7101.83	"Elementary"	1998
"26"	"04"	"Gridley Unified"	"75507"	"1.04911e+007"	"2007.84"	5225.05	"Unified"	1998
"27"	"04"	"Manzanita Elementary"	"61499"	"1.20203e+006"	"235.72"	5099.38	"Elementary"	1998
"28"	"04"	"Oroville City Elementary"	"61507"	"17679770"	"3220.6"	5489.59	"Elementary"	1998
"29"	"04"	"Oroville Union High"	"61515"	"1.39485e+007"	"2416.67"	5771.77	"High School"	1998
"30"	"04"	"Palermo Union Elementary"	"61523"	"6.51362e+006"	"1244.01"	5235.99	"Elementary"	1998
"31"	"04"	"Paradise Unified"	"61531"	"2.6283e+007"	"5210.28"	5044.46	"Unified"	1998
"32"	"04"	"Pioneer Union Elementary"	"73379"	"1.02452e+006"	"171.21"	5984.02	"Elementary"	1998
"33"	"04"	"Thermalito Union Elementary"	"61549"	"8.25722e+006"	"1500.78"	5501.95	"Elementary"	1998
"34"	"05"	"Bret Harte Union High"	"61556"	"5502316"	"829.5"	6633.29	"High School"	1998
"35"	"05"	"Calaveras Unified"	"61564"	"20538320"	"3666.44"	5601.71	"Unified"	1998
